Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Абага;61.063880700412255;132.2710533167775;3;68
Абаза;52.6517296;90.0885929;12;75
Абай;49.6357500;72.8616400;12;73
Абакан;53.7223661;91.4437792;176;72
Абинск;44.8679931;38.1618437;3;79
Абу Кебир;55.75;37.616667;3;51
Агаповка;53.2973000;59.1348000;3;67
Ага-Хангил;51.20186737087329;114.74133352340884;2;70
Агинское;51.1000000;114.5300000;9;73
Адрасмон;40.6492800;69.9847200;3;68
Акколь;53.2961700;69.5999700;5;58
Акмол;51.09978825771137;70.98125404940004;3;55
Аксу;52.4442200;71.9576100;23;68
Аксукент;42.420712;69.828652;9;66
Ак-Тал;51.362660002323324;93.53204863479516;1;72
Актау;43.6500000;51.1666700;1;57
Акташ;55.0384000;52.1214000;2;58
Алапаевск;57.8475542;61.6693934;3;74
Аларь;53.089216240336434;102.52917249608737;3;75
Алдан;58.6094885;125.3816689;13;73
Александровск;59.1613773;57.5764851;2;60
Александровское;44.7141700;43.0008300;2;63
Алексеевка;50.6299932;38.6881776;6;76
Алмалык;40.8447200;69.5983300;27;60
Алматы;43.2566700;76.9286100;63;68
Алтай;48.3027200;89.5155700;12;68
Алтыарык;40.391494;71.475201;3;53
Амга;60.9000900;131.9788200;3;80
Амитхаша;51.110243432479024;114.47594921675397;2;64
Анадырь;64.7314347;177.5015752;3;79
Анапа;44.8950777;37.3163142;3;73
Анапская;44.8967100;37.3860000;3;72
Анастасьевка;56.79339217750669;83.59888447672805;3;65
Ангарск;52.5448102;103.8885385;95;71
Андижан;40.7820600;72.3442400;5;62
Анжеро-Судженск;56.0787179;86.0202207;236;72
Аньшунь;26.2500000;105.9333300;3;58
Апатиты;67.5678295;33.4067218;3;69
Апшеронск;44.4585239;39.7300092;3;78
Аргада;54.2603475853798;110.69288443082942;3;65
Ариничево;54.575281870056;85.40835995260163;3;79
Артемовский;57.3384162;61.8946599;3;80
Архангельск;64.5392985;40.5170083;3;93
Асбест;57.0052428;61.4581071;3;75
Асино;56.9908444;86.1765724;51;71
Аскиз;53.1319400;90.5263900;15;68
Астана;51.1801000;71.4459800;8;65
Астрахань;46.3655808;48.0559979;6;65
Атбасар;51.8065200;68.3599600;3;69
Ахангаран;40.910440;69.643680;3;56
Ахуново;54.2079000;59.6017000;3;63
Ачинск;56.2538662;90.47949;69;70
Ашхабад;37.9500000;58.3833300;3;90
Багдад;33.3405800;44.4008800;9;68
Багдарин;54.4333300;113.6000000;2;65
Байконур;45.6166700;63.3166700;1;61
Бакчар;57.0186100;82.0711100;21;72
Балаково;52.0222694;47.7828146;3;77
Балашиха;55.7963352;37.9381413;3;84
Балпык;44.95614039617824;78.24042651016896;1;52
Балхаш; 46.8480600;74.9950000;5;66
Барабинск;55.3515917;78.3465012;16;72
Баратаевка;55.63781814786335;84.47573425695758;3;60
Баргузин;53.6187500;109.6390400;3;67
Барнаул;53.3481145;83.7798362;227;72
Басандайка;56.30219271635305;85.49762695017542;4;69
Басра;30.5085200;47.7804000;3;63
Бастобе;45.293771754708025;77.97679066904273;3;77
Батурино;57.79069112035609;85.20988402730391;6;67
Бачатский;54.2927000;86.1285000;4;67
Белая Холуница;58.8415212;50.8461002;2;58
Белебей;54.1033832;54.1111878;3;79
Белово;54.4221442;86.3036438;164;70
Беловодское;42.8294400;74.1083000;1;56
Белогорск;45.0571581;34.5998775;6;80
Белогорск;50.9212235;128.4738742;6;80
Белокуриха;51.9960534;84.9840343;21;71
Белорецк;53.9675927;58.4099562;3;79
Белоусовка;50.1328700;82.5248100;2;53
