Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Абаза;52,6517296;90,0885929;1;76
Абай;49,63575;72,86164;1;78
Абакан;53,7223661;91,4437792;2;75
Абинск;44,8679931;38,1618437;1;89
Агинское;51,1;114,53;2;81
Аксу;52,44422;71,95761;1;72
Аксукент;42,420712;69,828652;1;93
Алматы;43,25667;76,92861;2;56
Алтай;48,30272;89,51557;2;58
Ангарск;52,5448102;103,8885385;6;79
Анжеро-Судженск;56,0787179;86,0202207;22;70
Асино;56,9908444;86,1765724;1;73
Астана;51,1801;71,44598;1;76
Ачинск;56,2538662;90,47949;4;72
Бакчар;57,01861;82,07111;1;67
Балаково;52,0222694;47,7828146;1;79
Балашиха;55,7963352;37,9381413;1;86
Барабинск;55,3515917;78,3465012;1;75
Барнаул;53,3481145;83,7798362;9;65
Бастобе;45,29377175;77,97679067;1;80
Батурино;57,79069112;85,20988403;1;62
Бачатский;54,2927;86,1285;1;62
Белово;54,4221442;86,3036438;7;70
Белый Яр;53,60389;91,39028;1;61
Бердск;54,7582375;83,1072212;3;72
Березовский;55,6692853;86,2744636;9;81
Березовский;56,9096284;60,8180256;9;81
Бийск;52,5393683;85,2138852;2;65
Бирск;55,4157107;55,5582335;1;72
Бишкек;42,87;74,59;1;86
Винзили;56,95938;65,7708;1;57
Владивосток;43,1163807;131,882348;2;77
Воронеж;51,6592378;39,1968284;1;92
Глазов;58,1359111;52,6634998;1;69
Глинищево;53,30416;34,06523;1;86
Глубокое;50,14112;82,31329;1;87
Горно-Алтайск;51,9582681;85,9602957;1;75
Гурьевск;54,2860005;85,947723;3;80
Гурьевск;54,7705368;20,6039109;3;80
Гусиноозерск;51,2865751;106,5230732;1;76
Екатеринбург;56,8386326;60,6054887;2;87
Жаксы;51,93467288;67,30718296;1;71
Жезказган;47,78333;67,76667;2;70
Железногорск;52,3378753;35,3516834;9;80
Железногорск;56,2529346;93,532167;9;80
Жешарт;62,07314;49,57335;1;67
Завитинск;50,1064678;129,4392897;1;77
Залари;53,5584;102,5065;1;56
Заозерный;55,9617268;94,7091037;1;64
Захарово;54,366;39,2792;1;79
Здвинск;54,70206;78,66105;1;79
Зеленогорск;56,1133001;94,5888736;5;75
Ижевск;56,8527444;53,2113961;2;84
Ижморский;56,19239;86,64161;1;74
Иркутск;52,2863513;104,280655;3;70
Итатский;56,07;89,03694;1;66
Каа-Хем;51,68333;94,73333;2;81
Каменск-Уральский;56,4149095;61,9189837;1;78
Карасук;53,7343772;78,042457;3;85
Кемерово;55,3909721;86,0467864;32;77
Киселевка;57,33554285;82,15520921;1;54
Киселевск;54,0060382;86,6367387;7;81
Кожевниково;56,25889;83,97139;1;79
Колпашево;58,3114716;82,9027528;3;74
Комсомольск-на-Амуре;50,550011;137,0079286;1;80
Краснозерское;53,98277;79,23735;1;76
Краснообск;54,9198;82,9909;1;78
Красноярск;56,009466;92,8524162;12;78
Куйбышев;55,4684104;78,3241042;10;79
Курган;55,4443448;65,3161339;2;82
Курчатов;51,6605475;35,6571711;3;84
Кызыл;51,7191542;94,4377234;2;70
Ленинск-Кузнецкий;54,6674092;86,1796724;1;92
Лесниково;55,28222;65,3175;1;86
Лесосибирск;58,2218201;92,5036986;1;60
Магнитогорск;53,4071891;58,9791432;2;76
Маргилан;40,47237;71,72463;1;63
Мариинск;56,2127836;87,7454392;1;95
Мегион;61,0318946;76,1024772;1;98
Междуреченск;53,6865695;88,0703888;2;81
Миасс;55,0455774;60,1077757;3;87
Минусинск;53,7105509;91,6871866;6;85
Молчаново;57,58167;83,76917;1;64
Москва;55,75222;37,61556;2;78
Мурунтау;41,529677;64,601364;1;60
Мыски;53,7125516;87,8056657;1;72
Набережные Челны;55,7436475;52,3958739;1;100
