Средний_балл;Учебное_заведение;Город;Число_поступающих
99;МБОУ СШО №49 города Томска Томской области;Томск;1
99;"МБОУ ""Хоринская средняя общеобразовательная школа №2"" МО Хоринский район Республики Бурятия";Хоринск;1
98;Губернаторский Светленский лицей;Томск;1
97;Мариинская средняя общеобразовательная школа № 3 г.Томска;Томск;1
97;МБОУ СОШ г.Новосибирска №19;Новосибирск;1
96;Муниципальная средняя (полная) общеобразовательная школа № 43 г.Томск;Томск;1
96;Средняя общеобразовательная школа № 4 г.Стрежевой;Стрежевой;1
90;Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;1
90;Первомайская средняя общеобразовательная школа №5 муниципального района Шилкинский район Забайкальского края;Первомайский;1
89;Гимназия №1 имени Тасирова Г.Х. города Белово Кемеровской области;Белово;1
88;МБОУ СОШ №34;Кемерово;1
87;Муниципальная средняя (полная) общеобразовательная школа № 58 г.Томск;Томск;1
85;Муниципальное общеобразовательное учреждение гимназия № 56 г.Томск;Томск;2
85;" КГУ "" Гимназия №93""";Караганда;1
82;"Областное государственное автономное общеобразовательное учреждение ""Губернаторский Светленский лицей"" пос.Светлый г.Томска";Томск;1
81;Гуманитарный лицей г.Томск;Томск;2
77;Средняя общеобразовательная школа №198 г.Северска закрытого адиминстартивно-территориального образования Северск Томской области;Северск;1
75;МАОУ СОШ №11 им.В.И.Смирнова;Томск;1
75;МБОУ СОШ №92;Кемерово;1
71;Богашевская средняя общеобразовательная школа им. А.И.Федорова;Богашево;1
70;Средняя общеобразовательная школа №13 города Павлодара;Павлодар;1
70;"КГУ ""СОШ-лицей №7"" ГУ ""Отдел образования города Семей ВКО""";Семей;1
64;Школа-гимназия №44 Турксибского района города Алматы;Алматы;1
63;Средняя общеобразовательная школа 15 г.Караганда Р.Казахстан;Караганда;1
62;"КГУ ""Гимназия №38""";Караганда;1
62;"КГУ ""Кокпектинская СОШ""";Кокпекты;1
58;Средняя общеобразовательная профильная школа 41 г.Павлодар Р.Казахстан;Павлодар;1
57;Средняя школа 4 г.Акколь Р.Казахстан;Акколь;1
56;Средняя общеобразовательная школа № 88 имени А.Бородина и А.Кочева;Северск;1
56;"муниципальное общеобразовательное бюджетное учреждение ""Школа №14""";Прокопьевск;1
56;"МБОУ ""Средняя общеобразовательная школа №11"" города Прокопьевска Кемеровской области";Прокопьевск;1
56;Средняя (полная) общеобразовательная школа старшей ступени № 51 города Ланьчжоу;Ланьчжоу;1
56;Средняя общеобразовательная школа 13 г.Новокузнецк;Новокузнецк;1
56;Муниципальное казённое общеобразовательное учреждение Баратаевская средняя общеобразовательная школа Болотнинского района Новосибирской области;Баратаевка;1
56;Средняя художественная школа г. Гуанчжоу;Гуанчжоу;1
53;Гимназия № 13 г.Томска;Томск;1
