Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Акколь;53,29617;69,59997;1;57
Алматы;43,25667;76,92861;1;64
Баратаевка;55,63781815;84,47573426;1;56
Белово;54,4221442;86,3036438;1;89
Богашево;56,36798;85,14414;1;71
Гуанчжоу;23,11667;113,25;1;56
Караганда;49,83333;73,1658;3;70
Кемерово;55,3909721;86,0467864;2;81
Кокпекты;56,28636407;57,64458826;1;62
Ланьчжоу;36,05701;103,83987;1;56
Новокузнецк;53,7942757;87,2144046;1;56
Новосибирск;55,0281016;82,9210575;1;97
Павлодар;52,28333;76,96667;2;64
Первомайский;53,2485;40,2871;1;90
Прокопьевск;53,8604562;86,7183428;2;56
Северск;56,6031143;84,8809687;2;66
Семей;50,42675;80,26669;1;70
Стрежевой;60,7328199;77,6040323;1;96
Томск;56,4847036;84,9481737;13;85
Хоринск;52,16631;109,77626;1;99
