Средний_балл;Учебное_заведение;Город;Число_поступающих
100;"МАОУ ""Средняя общеобразовательная школа №25 с углубленным изучением отдельных предметов""";Златоуст;1
100;МКОУ средняя общеобразовательная школа № 105 Купинского района Новосибирской области;Купино;1
100;Майкаинская средняя общеобразовательная школа №2 отдела образования Баянаульского района;Майкаин;1
100;"МАОУ ""Гимназия №3"" г. Перми";Пермь;1
100;Турочакская средняя общеобразовательная школа Республики Алтай;Турочак;1
100;ФГАОУ ВО Тюменский государственный университет;Тюмень;1
96;Томский физико-технический лицей;Томск;1
96;Рыбаловская средняя общеобразовательная школа Томского района Томской области;Рыбалово;1
96;Средняя общеобразовательная школа № 36;Кемерово;1
93;"КГУ ""Общеобразовательная школа №1"" акимата города Сарани";Сарань;1
92;"МБОУ ""СОШ №198""";Северск;1
92;Средняя общеобразовательная школа 5 г.Колпашево;Колпашево;1
92;Муниципальная средняя (полная) общеобразовательная школа № 37 г.Томск;Томск;1
90;"КГУ ""Гимназия № 120"" имени Мажита Бегалина";Алматы;1
89;Средняя общеобразовательная школа № 12 города Белово Кемеровской области;Белово;2
88;Средняя общеобразовательная школа 16 г.Караганда;Караганда;2
87;Средняя общеобразовательная школа № 4 г. Иркутск;Иркутск;1
87;Лицей 1 г.Иркутск;Иркутск;1
87;Республиканский классический лицей;Горно-Алтайск;1
87;"МКОУ ""Вавиловская средняя школа"" Бакчарского района Томской области";Бакчар;1
86;"Коммунальное государственное учреждение ""Средняя школа №7 города Аксу";Аксу;1
85;"МБОУ ""Северский лицей""ЗАТО Северск Томской области";Северск;2
85;Сибирский геофизический колледж;Новосибирск;1
84;"Государственное учреждение ""Средняя общеобразовательная школа №13 города Павлодара""";Павлодар;2
83;"Государственное учреждение ""школа-лицей №16"" города Павлодара";Павлодар;1
83;МАОУ СОШ №13;Серов;1
83;"Муниципальное общеобразовательное учреждение ""Северская гимназия"" ЗАТО Северск Томской области";Северск;1
83;МБОУ СОШ №24;Кемерово;1
83;Средняя школа 2 г.Кокшетау Р.Казахстан;Кокшетау;1
79;Муниципальное общеобразовательное учреждение гимназия № 56 г.Томск;Томск;2
79;"КГУ ""Гимназия №1 города Темиртау""";Темиртау;1
78;Сибирский лицей г. Томска;Томск;1
78;Муниципальное общеобразовательное учреждение гимназия № 6 г.Томск;Томск;1
78;МАОУ Заозерная СОШ с углубленным изучением отдельных предметов №16;Томск;1
78;"МАОУ ""Гимназия города Юрги""";Юрга;1
78;Ягоднинская муниципальная средняя (полная) общеобразовательная школа;Ягодное;1
78;Большелеушинская средняя общеобразовательная школа ;Большие Леуши;1
78;"муниципальное бюджетное общеобразовательное учреждение куйбышевского района ""средняя общеобразовательная школа №9"" города куйбышева новосибирской области ";Куйбышевский район, Куйбышев;1
78;Белоярская средняя общеобразовательная школа № 1 Верхнекетского района Томской области;Белый Яр;1
78;"МКОУ ""Усть-Волчихинская средняя школа""";Барнаул;1
78;"МБОУ ""Лицей ""Эврика""";Саяногорск;1
78;МБОУ СОШ с углубленным изучением отдельных предметов №32 г. Прокопьевска;Прокопьевск;1
78;"МБОУ ""Школа №14"" ";Прокопьевск;1
78;"МАОУ ""СОШ""Мастерград"" г. Перми";Пермь;1
78;Средняя общеобразовательная школа 3 г.Нягань;Нягань;1
76;"КГУ ""Специализированная гимназия №8 с обучением на трех языках имени М.Х. Дулати""";Шымкент;1
74;Муниципальное общеобразовательное учреждение Гуманитарный лицей г.Томск;Томск;1
74;МАОУ СОШ №23 г.Томска;Томск;1
74;Средняя общеобразовательная школа № 50 г.Томск;Томск;1
74;МАОУ Гимназия 2 городского округа город  Стерлитамак Республики Башкортостан ;Стерлитамак;1
74;Шегарская муниципальная средняя (полная) общеобразовательная школа № 1;Мельниково;1
74;Бийский лицей-интернат Алтайского края;Бийск;1
74;Емельяновская средняя общеобразовательная школа 1 Емельяновского района Красноярского края;Емельяново;1
74;Средняя общеобразовательная школа №47 Барабинского р-на Новосибирской области;Барабинск;1
74;Средняя общеобразовательная школа № 1;Ленинск-Кузнецкий;1
74;МБОУ “Каргасокская средняя общеобразовательная школа-интернат № 1”;Каргасок;1
73;"коммунальное государственное учреждение ""Средняя общеобразовательная школа №28"" ГУ ""Отдел образования г. Семей ВКО""";Семей;1
72;Общеобразовательная средняя школа 4 г.Жезказгана Р.Казахстан;Жезказган;1
71;КГУ «школа-гимназия 22»;Нур-Султан;1
69;Павлодарский химико-механический колледж г.Павлодар Р.Казахстан;Павлодар;1
69;"МБОУ ""СОШ 26""";Новокузнецк;1
69;МБНОУ Гимназия №48;Новокузнецк;1
69;МБОУ Средняя общеобразовательная школа № 83;Северск;1
69;Средняя общеобразовательная школа 19 с углубленным изучением отдельных предметов г.Междуреченска;Междуреченск;1
68;МАОУ гимназия №2;Асино;2
68;Муниципальная средняя (полная) общеобразовательная школа № 198 г.Северск;Северск;2
68;Средняя общеобразовательная школа № 25 г.Томск;Томск;1
68;МАОУ СОШ №2 г.Томска;Томск;1
68;Муниципальная средняя (полная) общеобразовательная школа № 28 г.Томск;Томск;1
68;Средняя общеобразовательная школа № 8 г.Юрги Кемеровской области;Юрга;1
67;"КГУ ""Областная специализированная школа-лицей для детей, одаренных в области математики, физики, информатики""";Усть-Каменогорск;1
67;МАОУ Сибирский лицей г. Томск;Томск;1
67;Муниципальное общеобразовательное учреждение гимназия № 2 г.Томск;Томск;1
67;Русская Классическая Гимназия №2;Томск;2
67;Средняя общеобразовательная школа 12 г.Сургут;Сургут;1
67;Бакчарская средняя общеобразовательная школа;Бакчар;1
