Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Аксу;52,44422;71,95761;1;86
Алматы;43,25667;76,92861;1;90
Анастасьевка;56,79339218;83,59888448;1;66
Асино;56,9908444;86,1765724;2;68
Багдарин;54,43333;113,6;1;64
Бакчар;57,01861;82,07111;2;77
Барабинск;55,3515917;78,3465012;1;74
Барнаул;53,3481145;83,7798362;2;70
Белово;54,4221442;86,3036438;2;89
Белый Яр;53,60389;91,39028;1;78
Бийск;52,5393683;85,2138852;1;74
Большие Леуши;62,2002969;67,17225183;1;78
Горно-Алтайск;51,9582681;85,9602957;1;87
Емельяново;56,16776;92,67539;1;74
Жезказган;47,78333;67,76667;1;72
Жезказганская;46,85902721;74,9560988;1;62
Златоуст;55,1715695;59,6726264;1;100
Иркутск;52,2863513;104,280655;2;87
Караганда;49,83333;73,1658;2;88
Каргасок;59,05556;80,85722;1;74
Кемерово;55,3909721;86,0467864;3;82
Кокшетау;53,28333;69,4;1;83
Колпашево;58,3114716;82,9027528;1;92
Краснозерское;53,98277;79,23735;1;67
Куйбышевский район, Куйбышев;55,44753;78,32181;1;78
Купино;54,3660317;77,2972969;1;100
Ленинск-Кузнецкий;54,6674092;86,1796724;1;74
Лесосибирск;58,2218201;92,5036986;1;58
Майкаин;51,4831321;75,82660708;1;100
Междуреченск;53,6865695;88,0703888;1;69
Мельниково;56,55738;84,0835;1;74
Назарово;56,0113176;90,4167947;1;66
Новокузнецк;53,7942757;87,2144046;3;68
Новосибирск;55,0281016;82,9210575;2;72
Нур-Султан;51,1801;71,44598;2;63
Нягань;62,1454839;65,3944361;1;78
Окино-Ключи;50,59389;107,10944;1;64
Павлодар;52,28333;76,96667;8;71
Пермь;58,0103211;56,2341778;2;89
Поротниково;57,01320312;82,34626194;1;61
Прокопьевск;53,8604562;86,7183428;2;78
Рыбалово;56,52686656;84,52688153;1;96
Сарань;49,7908;72,83744;1;93
Саратов;51,530376;45,9530257;1;60
Саяногорск;53,1008226;91,4121643;1;78
Северск;56,6031143;84,8809687;8;75
Семей;50,42675;80,26669;1;73
Серов;59,6048651;60,5752136;1;83
Степногорск;52,35062;71,88161;1;64
Стерлитамак;53,6302498;55,9315707;1;74
Сургут;61,2539773;73,3961726;1;67
Темиртау;50,05494;72,96464;1;79
Томск;56,4847036;84,9481737;24;71
Турочак;52,2576;87,1224;1;100
Тюмень;57,1530824;65,5343118;1;100
Улан-Удэ;51,8334378;107,5841511;1;56
Усть-Каменогорск;49,97143;82,60586;1;67
Цаган-Челутай;51,070627;115,085731;1;62
Черногорск;53,8258425;91,3259669;1;65
Шымкент;42,3;69,6;1;76
Южно-Сахалинск;46,959133;142,7381252;1;63
Юрга;55,7202689;84,8885516;2;73
Ягодное;62,52406;149,62827;1;78
