Средний_балл;Учебное_заведение;Город;Число_поступающих
99;Гимназия #1 А.С. Пушкина ;Шымкент;1
97;МАОУ СШ №145;Красноярск;1
97;Средняя общеобразовательная школа п.Межозерный;Межозерный;1
97;Муниципальное автономное общеобразовательное учреждение «Миасская средняя общеобразовательная школа № 16»;Миасс;1
97;"МБОУ ""Гимназия №22"" НМР РТ";Нижнекамск;1
97;"МБОУ ""СОШ с углубленным изучением отдельных предметов #32"" ";Прокопьевск;1
94;"МБОУ""Гимназия№8""";Рубцовск;1
94;Северский лицей;Северск;1
94;Муниципальное бюджетное общеобразовательное учреждение «Гимназия №2» городского округа город Октябрьский Республики Башкортостан;Октябрьский;1
94;"БОУ г.Омска ""Гимназия №88""";Омск;1
94;БОУ г. Омска “Лицей №54”;Омск;1
94;Средняя общеобразовательная школа № 34 имени 79-й гвардейской стрелковой дивизии г. Томск;Томск;1
94;Миасская средняя общеобразовательная школа №20;Миасс;1
94;МБНОУ Лицей №11;Новокузнецк;1
94;"МОАУ ""Лицей №1 г. Новотроицка Оренбургской области""";Новотроицк;1
94;Средняя школа №1 с углубленным изучением физики и математики им. А.П.Завенягина г. Норильск Красноярский край;Норильск;1
94;"МБОУ ""Средняя школа №134""";Красноярск;1
94;"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия № 12""";Ленинск-Кузнецкий;1
94;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №95""";Кемерово;1
94;Средняя школа № 16 города Ачинска;Ачинск;1
94;МАОУ СОШ №16;Екатеринбург;1
94;"Лицей ""Бригантина"" г.Заринск";Заринск;1
94;Средняя общеобразовательная школа с углубленным изучением отдельных предметов 3 г. Ханты-Мансийска Х;Ханты-Мансийск;1
94;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа с.Смоленка;Чита;1
92;"МАОУ ""Ангарский лицей №1"" Иркутской области";Ангарск;2
91;МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа №12;Анжеро-Судженск;1
91;Гимназия 42 г.Барнаул;Барнаул;1
91;МБОУ СОШ № 11;Белово;1
91;"МБОУ ""Зырянская средняя общеобразовательная школа""";Зырянское;1
91;Средняя общеобразовательная школа 4 г.Белогорска;Белогорск;1
91;МАОУ Гимназия №17 г. Белорецк ;Белорецк;1
91;Гимназия 44 г.Иркутск;Иркутск;1
91;"ГАОУ ""Лицей Иннополис""";Казань;1
91;"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №1"" города Калтан Кемеровской области";Калтан;1
91;Лицей 2 г.Камень-на-Оби;Камень-на-Оби;1
91;Средняя общеобразовательная школа № 1;Ленинск-Кузнецкий;1
91;Средняя общеобразовательная школа 7 с углубленным изучением отдельных предметов г.Красноярска;Красноярск;1
91;МБОУ Гимназия № 3 в Академгородке;Новосибирск;2
91;МБОУ «Гимназия № 32» г. Новокузнецка Кемеровской области;Новокузнецк;1
91;Новосафоновская средняя общеобразовательная школа Прокопьевского района Кемеровской области;Новосафоновский;1
91;Средняя общеобразовательная школа 2 г.Минусинск;Минусинск;1
91;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №14 г.Назарово Красноярского края""";Назарово;1
91;"МОУ ""МГМЛ при МГТУ им. Г. И. Носова""";Магнитогорск;1
91;Муниципальная средняя (полная) общеобразовательная школа № 53 г.Томск;Томск;1
91;Муниципальная средняя (полная) общеобразовательная школа № 22 г.Томск;Томск;1
91;Гимназия имени Н.Д. Лицмана города Тобольска Тюменской области;Тобольск;1
91;Средняя общеобразовательная школа 32 с угл.изуч.отд.предметов г.Прокопьевск;Прокопьевск;1
91;"МБОУ ""Родинская средняя общеобразовательная школа №1""";Родино;1
91;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №13 (с этнокультурным компонентом образования)""";Чита;1
