Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Абаза;52.6517296;90.0885929;3;85
Абакан;53.7223661;91.4437792;22;77
Аксу;52.44422;71.95761;1;79
Аксукент;42.420712;69.828652;1;56
Алапаевск;57.8475542;61.6693934;1;77
Алдан;58.6094885;125.3816689;1;81
Алмалык;40.84472;69.59833;4;66
Алматы;43.25667;76.92861;2;76
Амга;60.90009;131.97882;1;83
Анадырь;64.7314347;177.5015752;1;79
Анапская;44.89671;37.386;1;81
Ангарск;52.5448102;103.8885385;13;75
Анжеро-Судженск;56.0787179;86.0202207;16;76
Асбест;57.0052428;61.4581071;1;68
Асино;56.9908444;86.1765724;2;78
Аскиз;53.13194;90.52639;2;72
Астана;51.1801;71.44598;1;56
Ачинск;56.2538662;90.47949;3;80
Бакчар;57.01861;82.07111;4;77
Барнаул;53.3481145;83.7798362;18;78
Бачатский;54.2927;86.1285;1;62
Белебей;54.1033832;54.1111878;1;79
Белово;54.4221442;86.3036438;13;76
Белогорск;45.0571581;34.5998775;1;91
Белогорск;50.9212235;128.4738742;1;91
Белорецк;53.9675927;58.4099562;1;91
Белый Яр;53.60389;91.39028;2;79
Бердск;54.7582375;83.1072212;4;73
Березовский;55.6692853;86.2744636;2;70
Березовский;56.9096284;60.8180256;2;70
Бийск;52.5393683;85.2138852;8;83
Билитуй;49.85495873;117.14599;1;57
Биробиджан;48.7945975;132.9217594;3;79
Благовещенск;50.2905935;127.5272186;2;84
Благовещенск;55.0499592;55.955309;2;84
Братск;56.1513951;101.6339892;2;80
Брянск;53.2420071;34.3652716;1;88
Верхневилюйск;63.44578;120.30739;1;59
Владивосток;43.1163807;131.882348;2;68
Вологда;59.2484186;39.8356461;1;70
Геленджик;44.5631053;38.0790184;1;73
Глазов;58.1359111;52.6634998;1;81
Горно-Алтайск;51.9582681;85.9602957;13;71
Горнозаводск;58.3743406;58.3230329;1;88
Гурьевск;54.2860005;85.947723;1;75
Гурьевск;54.7705368;20.6039109;1;75
Гусиноозерск;51.2865751;106.5230732;1;81
Душанбе;38.53575;68.77905;3;66
Екатеринбург;56.8386326;60.6054887;5;83
Емельяново;56.16776;92.67539;1;84
Железногорск;52.3378753;35.3516834;17;81
Железногорск;56.2529346;93.532167;17;81
Закаменск;50.3726774;103.2867452;1;81
