Средний_балл;Учебное_заведение;Город;Число_поступающих
96;"МБОУ ""СОШ №92""";Кемерово;1
96;МОАУ Гимназия № 2 г. Орска;Орск;1
94;МБОУ Первомайскую среднюю образовательную школу Первомайского района Томской области;Первомайский;1
94;Югорский физико-математический лицей-интернат;Ханты-Мансийск;1
94;Средняя общеобразовательная школа 25 г.Междуреченск;Междуреченск;1
94;Государственная школа-интернат одарённых детей им.Сапармурата Туркменбаши;Ашхабад;1
94;Гимназия 44 г.Иркутск;Иркутск;1
92;МБОУ СОШ № 97 Г. КЕМЕРОВО ;Кемерово;1
92;Гимназия 2 г.Красноярска;Красноярск;1
92;"КГУ ""Общеобразовательная школа №2"" акимата города Усть-Каменогорска";Усть-Каменогорск;1
92;Средняя общеобразовательная школа 70 г.Тюмени;Тюмень;2
92;Лицей-интернат 1 г.Улан-Удэ;Улан-Удэ;1
92;Лицей 21 г.Первоуральска;Первоуральск;1
92;"Муниципальное общеобразовательное автономное учреждение ""Средняя общеобразовательная школа № 52 г. Орска""";Орск;1
92;"БОУ г.Омска ""Гимназия №19""";Омск;1
92;Средняя общеобразовательная школа № 84 г. Северск;Северск;1
90;Сангарская гимназия пгт.Сангар;Сангар;1
90;"МБОУ ""СОШ №156 с углубленным изучением предметов художественно-эстетического цикла""";Новосибирск;1
90;МАОУ Гимназия №96;Челябинск;1
90;МБОУ СОШ №11 посёлка Шерегеш,Таштагольского района.;Шерегеш;1
90;Кривошеинская средняя общеобразовательная школа имени Героя Советского Союза Федора Матвеевича Зинченко села Кривошеина Томской области;Кривошеино;1
90;"МАОУ ""Лицей №7 имени Героя Советского Союза Б.К. Чернышева""";Красноярск;1
90;МБОУ Лицей №62;Кемерово;1
90;"ГБОУ ""Курганский областной лицей-интернат для одаренных детей""";Лесниково;2
90;"МОУ ""Гимназия №18""";Магнитогорск;1
90;Средняя общеобразовательная школа п.Межозерный;Межозерный;1
90;Лицей 2 г.Камень-на-Оби;Камень-на-Оби;1
90;Муниципальное бюджетное общеобразовательное учреждение - средняя общеобразовательная школа № 1 г. Завитинска Амурской области;Завитинск;1
90;Средняя общеобразовательная школа 14 (Новый образовательный центр) городского округа Город Губаха Пермского края;Губаха;1
90;"Муниципальное бюджетное общеобразовательное учреждение ""Екатеринославская средняя общеобразовательная школа"" имени Лыхенко С.А. Шербакульского муниципального района Омской области";Екатеринославка;1
90;"Муниципальное бюджетное общеобразовательное учреждение города Абакана ""Гимназия""";Абакан;1
90;КГУ Школа-гимназия 44 Турксибского района города Алматы;Алматы;1
90;"КГУ ""Школа-гимназия №44 "" Турксибского района города Алматы ";Алматы;1
89;Средняя школа № 1 уезда Вэнь провинции Хэнань;Цзяоцзо;2
88;Дальневосточный государственный университет путей сообщения г.Хабаровск;Хабаровск;1
88;"МБОУ ""Образовательный центр №11""";Череповец;1
88;"МБОУ ""Средняя общеобразовательная школа №10"" города Усолье-Сибирское Иркутской области";Усолье-Сибирское;1
88;МАОУ СОШ № 60;Тюмень;1
88;Средняя образовательная школа 16 г.Тобольск;Тобольск;1
88;Северский лицей;Северск;1
88;Средняя общеобразовательная школа 6 г.Сургут;Сургут;1
88;"Муниципальное бюджетное общеобразовательное учреждение Анжеро-Судженского городского округа ""Средняяобщеобразовательная школа №12""";Анжеро-Судженск;1
88;"муниципальное бюджетное общеобразовательное учреждение муниципального образования ""Город Архангельск"" ""Гимназия №6""";Архангельск;1
88;Средняя школа 1 Алданского района г.Алдан;Алдан;1
88;МАОУСОШ №16;Екатеринбург;1
88;Камышинская средняя общеобразовательная школа;Камышино;1
88;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №19;Ишимбай;1
88;МБО учреждение Лицей г.Нижневартовска;Нижневартовск;1
88;"МБОУ ""Средняя общеобразовательная школа №50""";Кемерово;1
88;МБОУ многопрофильный лицей города Кирово-Чепецка Кировской области;Кирово-Чепецк;1
88;МАОУ Гимназия №2;Красноярск;1
88;"МБОУ ""Средняя школа №134""";Красноярск;2
87;Лицей 34 г.Новокузнецка;Новокузнецк;2
87;Центр среднего образования высшей ступени;Мале;1
87;Средняя школа №4 г.Хазар;Хазар;1
87;Забайкальский краевой лицей-интернат;Чита;4
86;Школа 90;Тольятти;1
86;Гимназия №1 г.Тюмени;Тюмень;1
86;МАОУ Гимназия №33 г. Улан-Удэ;Улан-Удэ;1
86;ГБОУ Лицей 64;Санкт-Петербург;1
86;"МБОУ города Новосибирска ""Гимназия №1""";Новосибирск;1
86;МБОУ Гимназия № 1;Новосибирск;1
86;"МБОУ города Новосибирска ""Экономический лицей""";Новосибирск;2
86;БОУ СОШ №37;Омск;1
86;МОУ СОШ №4;Орехово-Зуево;1
86;Гимназия 24 г.Междуреченск;Междуреченск;1
