Средний_балл;Учебное_заведение;Город;Число_поступающих
98;Алексеевская средняя общеобразовательная школа Кормиловскогор-на Омской обл.;Алексеевка;1
98;"муниципальное бюджетное общеобразовательное учреждение муниципального образования ""Город Архангельск"" ""Гимназия №6""";Архангельск;1
98;"МБОУ ""Средняя общеобразовательная школа №50""";Кемерово;1
98;МАОУ Гимназия 10;Красноярск;1
98;"ГБОУ ""Курганский областной лицей-интернат для одаренных детей""";Лесниково;1
98;Мало-Владимирская средняя школа Бескарагайского района ВКО;Малая Владимировка;1
98;Средняя общеобразовательная школа 10 г.Семей Р.Казахстан;Семей;1
98;Колледж радиотехники и связи г.Семей Р.Казахстан;Семей;1
98;Муниципальное бюджетное общеобразовательное учреждение Степановская средняя общеобразовательная школа;Степановка;1
97;Кемеровский педагогический колледж;Кемерово;1
96;Средняя школа имени Нурмолды Алдабергенова Героя Социалистического труда с ДМЦ, села Карабулак, Алматинской области, Ескельдинского района;Карабулак;1
96;Гимназия №1 им. А.Л. Кузнецовой;Куйбышевский район, Куйбышев;1
96;"муниципальное бюджетное общеобразовательное учреждение города Кургана ""Средняя общеобразовательная школа №22"" Курганской области";Курган;1
96;Лицей 84;Новокузнецк;1
96;"ГБОУ Саратовской области среднего профессионального образования ""Новоузенский агротехнический техникум""";Новоузенск;1
96;Школа-лицей 8 для одаренных детей г.Павлодар Р.Казахстан;Павлодар;1
96;Гимназия 6 г.Семей Р.Казахстан;Семей;1
96;Средняя школа № 1 уезда Вэнь провинции Хэнань;Цзяоцзо;2
95;Геологоразведочный колледж г.Семей Р.Казахстан;Семей;5
95;Школа-центр дополнительного образования имени П.Корниенко п.Топар Абайского района Карагандинской области;Топар;2
95;Общеобразовательная школа №25 ГУ Отдел образования города Сатпаев Карагандинской области;Сатпаев;1
95;Средняя общеобразовательная школа 15 г.Караганда Р.Казахстан;Караганда;2
95;Средняя школа 16 г.Алмалык Р.Узбекистан;Алмалык;1
