Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Абакан;53,7223661;91,4437792;38;67
Алдан;58,6094885;125,3816689;3;63
Алексеевка;50,6299932;38,6881776;2;76
Анапа;44,8950777;37,3163142;1;82
Ангарск;52,5448102;103,8885385;16;59
Анжеро-Судженск;56,0787179;86,0202207;48;71
Апатиты;67,5678295;33,4067218;1;64
Апшеронск;44,4585239;39,7300092;1;82
Артемовский;57,3384162;61,8946599;1;89
Архангельск;64,5392985;40,5170083;1;98
Асино;56,9908444;86,1765724;13;67
Астрахань;46,3655808;48,0559979;2;61
Ачинск;56,2538662;90,47949;15;62
Барабинск;55,3515917;78,3465012;4;58
Барнаул;53,3481145;83,7798362;50;64
Белово;54,4221442;86,3036438;32;62
Белогорск;45,0571581;34,5998775;1;76
Белогорск;50,9212235;128,4738742;1;76
Белокуриха;51,9960534;84,9840343;7;66
Бердск;54,7582375;83,1072212;5;60
Березовский;55,6692853;86,2744636;14;68
Березовский;56,9096284;60,8180256;14;68
Бийск;52,5393683;85,2138852;22;74
Билибино;68,0585533;166,4388451;1;70
Боготол;56,209881;89,5300182;1;54
Болотное;55,6693773;84,3906599;1;85
Большой Камень;43,1112737;132,3480354;1;64
Борисоглебск;51,3654619;42,100947;1;55
Бородино;55,9054308;94,9021138;1;59
Братск;56,1513951;101,6339892;7;56
Брянск;53,2420071;34,3652716;1;82
Бугульма;54,5363428;52,7895286;1;64
Бугуруслан;53,6522636;52,4326166;1;61
Бузулук;52,7881434;52,2623757;1;68
Верещагино;58,0797908;54,6580948;1;62
Верхняя Пышма;56,9757833;60,564885;1;72
Видное;55,5518323;37,7062062;1;60
Владивосток;43,1163807;131,882348;4;56
Владикавказ;43,0205039;44,6819383;1;84
Волгоград;48,7072005;44,5170207;1;51
Воронеж;51,6592378;39,1968284;1;62
Глазов;58,1359111;52,6634998;1;84
Горно-Алтайск;51,9582681;85,9602957;24;65
Горнозаводск;58,3743406;58,3230329;1;68
Губаха;58,837024;57,5544441;1;78
Гурьевск;54,2860005;85,947723;7;64
Гурьевск;54,7705368;20,6039109;7;64
Гусиноозерск;51,2865751;106,5230732;4;61
Дагестанские Огни;42,1151021;48,1939983;1;72
Дальнереченск;45,9307882;133,7316542;1;51
Дивногорск;55,9577868;92,380085;1;70
Ейск;46,7114611;38,2764915;1;52
Екатеринбург;56,8386326;60,6054887;11;69
Елабуга;55,7566727;52,0544438;2;57
Енисейск;58,4485234;92,165237;1;62
Железногорск;52,3378753;35,3516834;17;72
Железногорск;56,2529346;93,532167;17;72
Железногорск-Илимский;56,5847382;104,1141747;1;72
Заречный;53,1961009;45,1691502;2;51
Заречный;56,8103345;61,3380592;2;51
Заринск;53,7063495;84,9314703;12;71
Зеленогорск;56,1133001;94,5888736;21;63
Зея;53,7339151;127,2658079;2;60
Зима;53,9206865;102,0492066;1;57
Златоуст;55,1715695;59,6726264;3;65
Змеиногорск;51,1580235;82,1872476;1;52
Игарка;67,4667947;86,5814287;1;88
Ижевск;56,8527444;53,2113961;4;68
Иркутск;52,2863513;104,280655;14;64
Ишимбай;53,4546314;56,043874;1;86
Йошкар-Ола;56,6343763;47,8998445;1;80
Казань;55,7943877;49,1115312;2;83
Каменск-Уральский;56,4149095;61,9189837;6;63
Каменск-Шахтинский;48,3204412;40,268874;1;53
Камень-на-Оби;53,7915454;81,3545173;5;61
Канск;56,2049776;95,7051246;5;67
Карабулак;43,3054762;44,9094521;3;85
Карасук;53,7343772;78,042457;7;61
Карпинск;59,7664444;60,0011798;1;88
Касли;55,8868045;60,7422529;1;57
Кедровый;57,5618465;79,5678914;3;58
Кемерово;55,3909721;86,0467864;126;68
Кингисепп;59,3739407;28,6112981;1;57
Киров;54,0790823;34,3077508;1;59
Киров;58,6035313;49,6679219;1;59
Кирово-Чепецк;58,5559921;50,0317608;1;84
Киселевск;54,0060382;86,6367387;9;64
Кодинск;58,6033961;99,1797563;1;64
Коломна;55,1027797;38,7531734;1;62
Колпашево;58,3114716;82,9027528;9;64
Комсомольск-на-Амуре;50,550011;137,0079286;4;64
Копейск;55,1167545;61,6180809;2;77
Коркино;54,8903023;61,4034541;1;90
Корсаков;46,6323995;142,7994094;1;57
Краснодар;45,040235;38,9760801;3;69
Краснокаменск;50,092858;118,0323407;3;68
Красноярск;56,009466;92,8524162;47;70
Крымск;44,9344108;37,9855314;1;57
Куйбышев;55,4684104;78,3241042;11;66
Кумертау;52,7565537;55,7969915;1;80
Курган;55,4443448;65,3161339;11;76
Курск;51,7303391;36,1926448;1;62
Курчатов;51,6605475;35,6571711;15;83
Кызыл;51,7191542;94,4377234;6;56
Кяхта;50,3466291;106,4534938;3;61
Лангепас;61,2536667;75,1807905;3;67
Ленинск-Кузнецкий;54,6674092;86,1796724;18;70
Лесной;58,634981;59,7980528;1;84
Лесосибирск;58,2218201;92,5036986;2;67
Лянтор;61,6391639;72,1793828;1;68
Магнитогорск;53,4071891;58,9791432;3;81
Мариинск;56,2127836;87,7454392;11;64
Мегион;61,0318946;76,1024772;2;71
Медногорск;51,4039421;57,5832185;1;51
Междуреченск;53,6865695;88,0703888;34;70
Мелеуз;52,9590637;55,9283483;1;94
Миасс;55,0455774;60,1077757;7;70
Минусинск;53,7105509;91,6871866;18;67
Мирный;62,5362511;113,9668146;2;52
Мирный;62,7644267;40,3359976;2;52
Михайловка;50,0708749;43,2400847;1;86
Муравленко;63,794188;74,494913;1;55
Мыски;53,7125516;87,8056657;11;64
Надым;65,5377514;72,5182746;2;62
Назарово;56,0113176;90,4167947;23;67
Нариманов;46,6916597;47,8501624;1;53
Находка;42,8240404;132,8927812;2;61
Нерюнгри;56,6600322;124,72031;4;60
Нефтекамск;56,0883075;54,2483391;3;72
Нефтеюганск;61,0882837;72,6164185;2;63
Нижневартовск;60,9397379;76,5696206;14;64
Нижнеудинск;54,8969105;99,0313481;2;56
Нижний Новгород;56,3242093;44,0053948;3;74
Нижний Тагил;57,9101038;59,9813242;1;70
Новоалександровск;45,4933561;41,2154482;1;55
Новоалтайск;53,4120811;83,9311249;6;66
Новокузнецк;53,7942757;87,2144046;87;65
Новокуйбышевск;53,0995303;49,9477662;1;81
Новороссийск;44,7234264;37,7687218;3;69
Новосибирск;55,0281016;82,9210575;92;68
Новоузенск;50,4551744;48,1412622;1;96
Новый Уренгой;66,0840036;76,6810032;2;55
Норильск;69,3490828;88,2009965;3;66
Ноябрьск;63,201846;75,4509665;7;61
Нюрба;63,2828775;118,324325;1;62
Нягань;62,1454839;65,3944361;2;54
Обь;54,9945882;82,6937925;1;64
Омск;54,9848136;73,3674638;34;71
Оренбург;51,7875191;55,1017379;3;80
Орехово-Зуево;55,8151729;38,9870711;1;72
Орск;51,2293069;58,4751889;4;65
Осинники;53,5987397;87,3369948;15;62
Отрадное;59,772596;30,7988403;1;52
Павловск;50,4533684;40,1369087;3;66
Первоуральск;56,9081665;59,9429205;2;78
Пермь;58,0103211;56,2341778;3;86
Петровск-Забайкальский;51,2748381;108,8467139;1;61
Петропавловск-Камчатский;53,0370213;158,6559142;2;71
Покачи;61,7421977;75,5942069;2;71
Полысаево;54,6053968;86,2808803;5;60
Прокопьевск;53,8604562;86,7183428;37;65
Псков;57,819284;28,3318188;1;62
Пыть-Ях;60,7585769;72,8366445;1;55
Пятигорск;44,0411669;43,0661091;1;80
Радужный;55,9961034;40,3323247;4;67
Радужный;62,1343067;77,4584346;4;67
Ревда;56,79869;59,9071464;2;68
Рубцовск;51,5013075;81,2077729;9;69
Рузаевка;54,0583238;44,949116;2;79
Рыбинск;58,0483802;38,858338;1;62
Салаир;54,2351588;85,8029215;1;61
Самара;53,1951657;50,1067691;2;67
Сарапул;56,4616117;53,8036967;1;62
Саратов;51,530376;45,9530257;1;68
Сатка;55,0404497;59,0288153;1;90
Саяногорск;53,1008226;91,4121643;10;61
Светлоград;45,3284769;42,8566923;1;62
Свободный;51,361264;128,1218995;2;57
Северобайкальск;55,6357165;109,3362606;1;53
Северск;56,6031143;84,8809687;47;65
Серов;59,6048651;60,5752136;1;60
Сибай;52,7205811;58,6663303;1;68
Славгород;52,9993053;78,6459674;3;79
Слюдянка;51,6562679;103,7186877;1;58
Снежинск;56,085232;60,7324989;2;79
Сосновоборск;56,1202088;93,3353411;4;61
Сочи;43,5855829;39,7231419;1;80
Стерлитамак;53,6302498;55,9315707;4;66
Стрежевой;60,7328199;77,6040323;12;67
Сургут;61,2539773;73,3961726;16;66
Сухой Лог;56,9075938;62,0358708;1;59
Сыктывкар;61,668789;50,8356491;3;64
Тавда;58,0434196;65,2743232;1;78
Тайга;56,0622767;85,6207907;8;62
Тарко-Сале;64,9117649;77,7610204;1;72
Таштагол;52,7594505;87,8477272;10;70
Тверь;56,8585396;35,9117898;1;91
Тобольск;58,2016828;68,2538392;4;75
Тогучин;55,2250038;84,4103867;1;74
Тольятти;53,5206438;49,389461;2;68
Томск;56,4847036;84,9481737;467;68
Топки;55,2766036;85,6153223;2;66
Трехгорный;54,8178174;58,4465039;1;82
Трубчевск;52,5791314;33,7660013;1;58
Тулун;54,5571409;100,5779402;1;62
Туринск;58,0394258;63,698142;1;58
Тюмень;57,1530824;65,5343118;26;71
Углегорск;49,0816311;142,0693033;1;53
Улан-Удэ;51,8334378;107,5841511;39;60
Ульяновск;54,3080674;48,3748717;1;64
Усолье-Сибирское;52,7567192;103,6387694;7;61
Уссурийск;43,79726;131,9517262;3;65
Усть-Илимск;57,9431325;102,7414683;2;60
