Средний_балл;Учебное_заведение;Город;Число_поступающих
100;Средняя школа 16 г.Алмалык Р.Узбекистан;Алмалык;1
100;КГУ СОШ №6 г.Алтай;Алтай;1
100;"Коммунальное государственное учреждение ""Средняя школа имени Н. Островского";Бородулиха;1
100;Средняя общеобразовательная школа 86 г.Караганды Р.Казахстан;Караганда;1
100;МБОУ СОШ№71 п.Кедровый Красноярского края;Кедровый;1
100;МБОУ СОШ №3 с углубленным изучением отдельных предметов г. Мегион Ханты-Мансийского автономного округа - Югры;Мегион;1
100;Средняя общеобразовательная школа п.Межозерный;Межозерный;1
100;Павлодарский химико-механический колледж г.Павлодар Р.Казахстан;Павлодар;1
100;Гимназия 3 г.Павлодар Р.Казахстан;Павлодар;1
100;Средняя школа им.Корниенко Абайского р. Карагандинской обл. Р.Казахстан;Топар;1
98;Муниципальное казённое общеобразовательное учреждение Топчихинская средняя общеобразовательная школа №1 имени Героя России Дмитрия Ерофеева;Топчиха;1
98;МАОУ СОШ №42 г. Улан-Удэ;Улан-Удэ;1
98;"КГУ ""Средняя школа №24"" акимата города Усть-Каменогорска";Усть-Каменогорск;1
98;МАОУ СОШ № 47 г.Челябинска имени Пустового В.П.;Челябинск;1
98;Средняя общеобразовательная школа-гимназия №9 города Павлодара;Павлодар;1
98;"муниципальное бюджетное общеобразовательное учреждение""Средняя общеобразовательная школа №51""";Прокопьевск;1
98;Санкт-Петербургский государственный университет гражданской авиации;Санкт-Петербург;1
98;Средняя общеобразовательная школа 9 г.Семей Р.Казахстан;Семей;2
98;Смоленская средняя общеобразовательная школа 1 Смоленского района Алтайского края;Смоленское;1
98;Курумканская средняя школа 1 с.Курумкан;Курумкан;2
98;Муниципальное бюджетное общеобразовательное учреждение «ЛИЦЕЙ» города Лесосибирска, Красноярского края;Лесосибирск;1
98;МБОУ средняя общеобразовательная школа №2 Карасукского  района Новосибирской области;Карасук;1
98;Лицей 2 г.Камень-на-Оби;Камень-на-Оби;1
98;МБОУ СОШ №44 имени Вознесенского г. Кемерово;Кемерово;1
98;МБОУ многопрофильный лицей города Кирово-Чепецка Кировской области;Кирово-Чепецк;1
98;Средняя общеобразовательная школа 7 г. Колпашево Томской области;Колпашево;1
98;МБОУ Гимназия №18;Краснодар;1
98;МБОУ Средняя школа №17;Красноярск;1
98;"государственное бюджетное нетиповое общеобразовательное учреждение ""Губернаторская женская гимназия-интернат"" Кемеровского района Кемеровской области ";Елыкаево;1
98;Итатская средняя общеобразовательная школа;Итатский;1
98;"МАОУ ""Школа №26""";Балашиха;1
98;Средняя общеобразовательная школа 41 г.Бийск;Бийск;1
97;Государственная школа-интернат одарённых детей им.Сапармурата Туркменбаши;Ашхабад;1
97;Канонерская средняя школа Бескарагайского р-на Восточно-Казахстанской области;Канонерка;2
97;Карагандинский технико - строительный колледж;Караганда;1
97; ГПОУ «Ленинск-Кузнецкое УОР»;Ленинск-Кузнецкий;1
97;"КГУ ""Экономический лицей"" государственного учреждения ""Отдел образования города Семей ВКО""";Семей;1
97;Средняя общеобразовательная школа 24 города Павлодара;Павлодар;1
97;КГУ школа-лицей № 27 акимата г. Нур-Султан;Нур-Султан;1
97;"КГУ ""Лицей-интернат ""Билим-инновация"" для одаренных юношей"" акимата города Нур-Султан";Нур-Султан;1
97;"АОО ""Назарбаев Интеллектуальная школа""";Нур-Султан;1
97;Средняя школа №3 г.Хазар;Хазар;2
97;Средняя школа №2 им. М.Гелдиева г.Хазар;Хазар;2
97;Общеобразовательная школа №30 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1
96;Колледж транспорта и безопасности жизнедеятельности г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1
96;КГУ Областная специализированная IT-школа-лицей управления образования ВКО;Усть-Каменогорск;1
96;"КГУ ""Школа-лицей №34"" акимата города Усть-Каменогорска Восточно-Казахстанской области";Усть-Каменогорск;2
96;"КГУ ""Общеобразовательная школа №2"" акимата города Усть-Каменогорска";Усть-Каменогорск;1
96;Средняя общеобразовательная школа 17 г.Улан-Удэ;Улан-Удэ;1
96;МАОУ СОШ № 42 г.Улан-Удэ;Улан-Удэ;1
96;Лицей-интернат 1 г.Улан-Удэ;Улан-Удэ;1
96;Средняя общеобразовательная школа 70 г.Тюмени;Тюмень;2
96;Средняя школа №4 г.Хазар;Хазар;1
96;Средняя общеобразовательная школа 2 г.Читы;Чита;1
96;КГУ Шульбинская средняя общеобразовательная школа;Шульбинск;1
96;Школа-лицей №46;Шымкент;3
96;общеобразовательная средняя школа-лицей №4 с ДМЦ;Талгар;1
96;Школа 31;Нур-Султан;1
96;"Государственное учреждение ""Средняя общеобразовательная школа-гимназия №9 города Павлодара""";Павлодар;1
96;МАЙКАИНСКАЯ СОШ№2;Павлодарская;1
96;"МБОУ ""СОШ п. Пеледуй"" МО ""Ленский район"" РСЯ";Пеледуй;1
96;Школа-лицей 8 для одаренных детей г.Павлодар Р.Казахстан;Павлодар;1
96;Средняя общеобразовательная школа №13 города Павлодара;Павлодар;1
96;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа посёлка Синегорье""";Синегорье;1
96;"МАОУ ""КСОШ-ДС""";Пыть-Ях;1
96;Средняя общеобразовательная школа 3 г.Риддер Р.Казахстан;Риддер;1
96;Республиканская специализированная школа-интернат-колледж олимпийского резерва в городе Риддер;Риддер;1
96;"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №22"" Курганской области";Курган;1
96;КГУ Средняя общеобразовательная школа № 4 города Курчатова;Курчатов;1
96;"КГУ ""Средняя школа №3 города Курчатова""";Курчатов;2
96;Средняя общеобразовательная школа № 22;Курган;1
96;МАОУ Маслянская СОШ;Маслянский;1
96;МБО учреждение Лицей г.Нижневартовска;Нижневартовск;1
96;"МАОУ ""Гимназия №1"" г. Канска Красноярского края";Канск;1
96;Средняя общеобразовательная школа 7 г.Канск;Канск;1
96;МБОУ СОШ № 97 Г. КЕМЕРОВО ;Кемерово;1
96;МОУ СОШ с УИОП №16;Комсомольск-на-Амуре;1
96;КГУ Средняя школа 1 города Атбасар отдела образования Атбасарского района;Атбасар;1
96;Средняя общеобразовательная школа №126 г. Барнаул;Барнаул;1
96;"МБОУ""СОШ№89""";Барнаул;1
96;"МБОУ ""Белоярская СШ""";Белый Яр;1
96;Средняя школа имени М.Горького Каратальского района Алматинской области КАЗАХСТАН;Бастобе;1
96;"МБОУ - Алданский лицей муниципального образования ""Алданский район"" РС (Я)";Алдан;1
96;Лицей-интернат №1 г. Иркутска;Иркутск;1
96;Средняя общеобразовательная школа 176 г.Зеленогорск;Зеленогорск;1
96;"МБОУ ""Гимназия №1 им. А. А. Иноземцева""";Братск;1
96;Глубоковская средняя школа имени Ы.Алтынсарина ВКО Р.Казахстан;Глубокое;1
96;"МОБУ ""Городская классическая гимназия"" городского округа ""город Якутск"", Республика Саха (Якутия)";Якутск;1
95;"Частная гимназия ""Лика""";Алматы;1
95;Средняя общеобразовательная школа 16 г.Караганда;Караганда;3
95;Академия труда и социальных отношений;Москва;1
95;"КГУ ""Школа-лицей №1""";Риддер;4
95;"Государственное учреждение ""школа-лицей №16"" города Павлодара";Павлодар;1
95;"Государственное учреждение ""Средняя общеобразовательная школа №13 города Павлодара""";Павлодар;2
95;"ГУ ""Средняя общеобразовательная школа №13 города Павлодара""";Павлодар;1
95;Профессиональное училище № 105 г Норильска;Норильск;1
95;Областная специализ. школа-лицей для детей, одаренных в обл. матем.,физ.,информ. г.Усть-Каменогорска;Усть-Каменогорск;6
94;Школа-гимназия №11 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1
94;"МАОУ ""Средняя общеобразовательная школа № 25 с углубленным изучением отдельных предметов г. Уссурийска имени В.Г. Асапова";Уссурийск;1
94;МАОУ СОШ №62;Тюмень;1
94;"ГБОУ ""Лицей-интернат №61""";Улан-Удэ;2
94;МАОУ «СОШ №2 с УИОП г.Улан-Удэ»;Улан-Удэ;1
94;Средняя общеобразовательная школа 47 г.Улан-Удэ;Улан-Удэ;1
94;Шипуновскяа средняя общеобразовательная школа им.А.В.Луначарского;Шипуново;1
94;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №13 (с этнокультурным компонентом образования)""";Чита;1
94;МБОУ Многопрофильная гимназия №12 г. Читы Забайкальского края;Чита;1
94;Забайкальская краевая гимназия-интернат г.Читы;Чита;1
94;МАОУ Гимназия №96;Челябинск;1
94;МБОУ СОШ №89;Челябинск;1
94;Гимназия имени Н.Д. Лицмана города Тобольска Тюменской области;Тобольск;1
94;Школа-центр дополнительного образования имени П.Корниенко п.Топар Абайского района Карагандинской области;Топар;2
94;МАОУ гимназия №55 им. Е.Г.Вёртскиной г. Томска;Томск;1
94;"МОАУ ""Лицей №1 г. Новотроицка Оренбургской области""";Новотроицк;1
94;Государственное бюджетное профессиональное образовательное учреждение Новосибирской области «Новосибирский колледж электроники и вычислительной техники»;Новосибирск;1
94;"МБОУ города Новосибирска ""Средняя общеобразовательная школа №7""";Новосибирск;1
94;"МБОУ ""Гимназия № 16"" Французская"" г. Новосибирска";Новосибирск;1
94;МБНОУ Гимназия №48;Новокузнецк;1
94;"МБОУ ""Евгащинская средняя общеобразовательная школа имени генерал-майора авиации Дмитрия Михайловича Ефименко""";Омск;1
94;"МБОУ ""Родинская средняя общеобразовательная школа №1""";Родино;1
94;"МБОУ ""Школа №70""";Ростов-на-Дону;1
94;Средняя общеобразовательная школа 2 г.Риддер Р.Казахстан;Риддер;5
94;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов №30;Пятигорск;1
94;"БОУ ""Русскополянская средняя общеобразовательная школа №2 имени Героя Советского Союза Г. Г. Светецкого""";Русская Поляна;1
94;"МАОУ ""Гимназия №3"" г. Перми";Пермь;1
94;"НР МОБУ ""ПСОШ 2""";Пойковский;1
94;Колледж транспорта г.Семей;Семей;1
94;Средняя общеобразовательная школа-лицей 7 г.Семей Р.Казахстан;Семей;3
94;Средняя общеобразовательная школа 25 г.Семей Р.Казахстан;Семей;1
94;Средняя общеобразовательная школа 29 Пальмира г.Семей Р.Казахстан;Семей;6
94;Гимназия 9 г.Свободного Амурской области;Свободный;1
94;Муниципальное бюджетное общеобразовательное учереждение Новичихинская средняя общеобразовательная школа;Новичиха;1
94;Средняя общеобразовательная школа №79;Новокузнецк;1
94;МБОУ Средняя общеобразовательная шклла №60 г. Новокузнецка;Новокузнецк;1
94;Средняя общеобразовательная школа №2 с углубленным изучением отдельных предметов;Лысьва;1
94;"Муниципальное Автономное Нетиповое Образовательное Учреждение ""Гимназия №2""";Мариинск;1
94;Миасская средняя общеобразовательная школа №20;Миасс;1
94;"МОБУ ""Лицей №7""";Минусинск;1
94;Средняя школа №3 города Курчатова Р.Казахстан;Курчатов;4
94;Кяхтинская средняя общеобразовательная школа 4;Кяхта;1
94;Средняя общеобразовательная школа 7 г.Краснокаменска;Краснокаменск;1
94;"МАОУ ""Средняя школа №7 с углубленным изучением отдельных предметов"" г. Красноярск";Красноярск;1
94;Средняя общеобразовательная школа 50 г.Абаза;Абаза;1
94;Средняя общеобразовательная школа №2;Апатиты;1
94;"муниципальное бюджетное общеобразовательное учреждение муниципального образования ""Город Архангельск"" ""Гимназия №6""";Архангельск;1
94;Алтайский край, Смоленский район,с. Смоленское;Барнаул;1
94;Алтайский краевой педагогический лицей-интернат г.Барнаул;Барнаул;1
94;"МАОУ ""Лицей №6""";Бердск;1
94;Средняя общеобразовательная школа 125 г.Барнаул;Барнаул;1
94;"МАОУ ""Средняя общеобразовательная школа №1"" г. Горнозаводска";Горнозаводск;1
94;муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа 15 муниципального образования город-курорт Анапа Краснодарского края;Гостагаевская;1
94;"КГУ  ""Средняя общеобразовательная школа № 9""";Восточно-Казахстанская;1
94;"МБОУ ""Гимназия №1 Брянского района""";Глинищево;1
