Средний_балл;Учебное_заведение;Город;Число_поступающих
100;" КГУ "" Гимназия №93""";Караганда;1
100;Средняя общеобразовательная школа №13 города Павлодара;Павлодар;1
100;Томский политехнический университет;Томск;1
100;ГОУ ВПО Кемеровский государственный университет;Юрга;1
94;Самаркандский железнодорожный транспортный профессиональный колледж;Самарканд;1
94;"КГУ ""Кокпектинская СОШ""";Кокпекты;1
86;"МБОУ ""Хоринская средняя общеобразовательная школа №2"" МО Хоринский район Республики Бурятия";Хоринск;1
85;Школа-гимназия №44 Турксибского района города Алматы;Алматы;1
85;Средняя общеобразовательная школа 15 г.Караганда Р.Казахстан;Караганда;1
85;Средняя общеобразовательная профильная школа 41 г.Павлодар Р.Казахстан;Павлодар;1
82;Средняя общеобразовательная школа №198 г.Северска закрытого адиминстартивно-территориального образования Северск Томской области;Северск;1
82;Муниципальная средняя (полная) общеобразовательная школа № 58 г.Томск;Томск;1
79;Юргинский промышленно-экономический техникум;Юрга;1
79;Профессиональное училище № 59 имени И.В. Асанова г Юрги;Юрга;1
79;БПОУ Омский колледж транспортного строительства;Омск;1
79;Средняя художественная школа г. Гуанчжоу;Гуанчжоу;1
77;Муниципальная средняя (полная) общеобразовательная школа № 43 г.Томск;Томск;1
76;"МБОУ ""Средняя общеобразовательная школа №11"" города Прокопьевска Кемеровской области";Прокопьевск;1
74;"муниципальное общеобразовательное бюджетное учреждение ""Школа №14""";Прокопьевск;1
74;Средняя общеобразовательная школа 25 г.Сургут;Сургут;1
74;МБОУ СШО №49 города Томска Томской области;Томск;1
73;Юргинский механический техникум;Юрга;1
72;Гимназия № 13 г.Томска;Томск;1
71;"г. Томск Государственное образовательное учреждение высшего профессионального образования ""Томский государственный университет""";Томск;1
71;ГОУ СПО Юргинский техникум машиностроения и информационных технологий г. Юрга;Юрга;3
71;"КГУ ""Гимназия №38""";Караганда;1
71;Кемеровский педагогический колледж;Кемерово;1
70;"Областное государственное автономное общеобразовательное учреждение ""Губернаторский Светленский лицей"" пос.Светлый г.Томска";Томск;1
70;Средняя общеобразовательная школа № 4 г.Стрежевой;Стрежевой;1
69;Юргинский техникум агротехнологий и сервиса;Юрга;3
69;МБОУ СОШ №34;Кемерово;1
69;Богашевская средняя общеобразовательная школа им. А.И.Федорова;Богашево;1
68;"КГУ ""СОШ-лицей №7"" ГУ ""Отдел образования города Семей ВКО""";Семей;1
68;МБОУ СОШ г.Новосибирска №19;Новосибирск;1
68;Губернаторский Светленский лицей;Томск;1
67;"ЧОУ Сибирский институт развивающего обучения ""Пеленг"" города Томска";Томск;1
67;Новосибирский государственный педагогический университет;Новосибирск;1
67;Межениновская муниципальная средняя (полная) общеобразовательная школа;Межениновка;1
66;Гимназия №1 имени Тасирова Г.Х. города Белово Кемеровской области;Белово;1
66;профессионально-техническое училище № 73;Юрга;1
66;ГОУ СПО Юргинский технологический колледж;Юрга;2
65;Томский политехнический институт;Томск;1
64;Муниципальное общеобразовательное учреждение гимназия № 56 г.Томск;Томск;2
64;Гуманитарный лицей г.Томск;Томск;2
64;ФГОУ СПО Юргинский техникум машиностроения и информационных технологий;Юрга;2
63;Технический лицей г. Юрга;Юрга;1
63;Государственное образовательное учреждение высшего профессионального образования Томский государственный архитектурно-строительный университет;Томск;1
63;Средняя (полная) общеобразовательная школа старшей ступени № 51 города Ланьчжоу;Ланьчжоу;1
62;Первомайская средняя общеобразовательная школа №5 муниципального района Шилкинский район Забайкальского края;Первомайский;1
62;Средняя общеобразовательная школа 13 г.Новокузнецк;Новокузнецк;1
62;Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;1
62;Мариинская средняя общеобразовательная школа № 3 г.Томска;Томск;1
61;МБОУ Средняя общеобразовательная школа 7 г.Колпашево;Колпашево;1
61;МБОУ СОШ №92;Кемерово;1
59;"ГПОУ ""Березовский политехнический техникум""";Березовский;1
59;Хабаровский политехнический институт;Хабаровск;1
57;"МБОУ ""Гимназия"" г.Черногорска РХ";Черногорск;1
57;"Муниципальное бюджетное общеобразовательное учреждение ""Усть-Бюрская средняя общеобразовательная школа""";Усть-Бюрь;1
57;Средняя общеобразовательная школа № 5 г.Стрежевой;Стрежевой;1
57;Средняя общеобразовательная школа № 88 имени А.Бородина и А.Кочева;Северск;1
57;Муниципальная средняя (полная) общеобразовательная школа № 87 г.Северск;Северск;1
56;МАОУ СОШ №11 им.В.И.Смирнова;Томск;1
55;Муниципальное казённое общеобразовательное учреждение Баратаевская средняя общеобразовательная школа Болотнинского района Новосибирской области;Баратаевка;1
54;Тогучинский лесхоз-техникум г.Тогучин;Тогучин;1
54;Томский государственный педагогический университет;Томск;1
54;Юргинский технологический колледж;Юрга;1
