Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Алматы;43.25667;76.92861;1;85
Баратаевка;55.63781815;84.47573426;1;55
Белово;54.4221442;86.3036438;1;66
Березовский;55.6692853;86.2744636;1;59
Березовский;56.9096284;60.8180256;1;59
Богашево;56.36798;85.14414;1;69
Гуанчжоу;23.11667;113.25;1;79
Караганда;49.83333;73.1658;3;85
Кемерово;55.3909721;86.0467864;3;67
Кокпекты;56.28636407;57.64458826;1;94
Колпашево;58.3114716;82.9027528;1;61
Ланьчжоу;36.05701;103.83987;1;63
Межениновка;56.37925918;85.3886266;1;67
Новокузнецк;53.7942757;87.2144046;1;62
Новосибирск;55.0281016;82.9210575;2;67
Омск;54.9848136;73.3674638;1;79
Павлодар;52.28333;76.96667;2;92
Первомайский;53.2485;40.2871;1;62
Прокопьевск;53.8604562;86.7183428;2;75
Самарканд;39.65417;66.95972;1;94
Северск;56.6031143;84.8809687;3;65
Семей;50.42675;80.26669;1;68
Стрежевой;60.7328199;77.6040323;2;63
Сургут;61.2539773;73.3961726;1;74
Тогучин;55.2250038;84.4103867;1;54
Томск;56.4847036;84.9481737;19;68
Усть-Бюрь;53.86952675;90.30892942;1;57
Хабаровск;48.4647991;135.0598811;1;59
Хоринск;52.16631;109.77626;1;86
Черногорск;53.8258425;91.3259669;1;57
Юрга;55.7202689;84.8885516;17;70
