Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Средняя общеобразовательная школа 144 г.Красноярска;Красноярск;1;100;56.009466;92.8524162
"МБОУ ""СОШ №8""";Набережные Челны;1;100;55.7436475;52.3958739
Лицей№84;Новокузнецк;1;100;53.7942757;87.2144046
МОАУ Гимназия №4;Оренбург;1;100;51.7875191;55.1017379
"БОУ ""Русскополянская средняя общеобразовательная школа №2 имени Героя Советского Союза Г. Г. Светецкого""";Русская Поляна;1;100;53.77944;73.88056
Сибирский лицей г. Томск;Томск;1;100;56.4847036;84.9481737
Средняя общеобразовательная школа 2 г.Шарыпово;Шарыпово;1;100;55.5389684;89.1801557
"МБОУ ""Ордена Дружбы народов гимназия №3 им. А. М. Горького"" городского округа город Уфа Республики Башкортостан ";Уфа;1;98;54.734853;55.9578647
"МБНОУ ""Гимназия №59""";Новокузнецк;1;98;53.7942757;87.2144046
МБОУ Средняя школа №18 города Красноярска;Красноярск;1;98;56.009466;92.8524162
МБОУ СОШ №3 с углубленным изучением отдельных предметов г. Мегион Ханты-Мансийского автономного округа - Югры;Мегион;1;98;61.0318946;76.1024772
Гимназия № 120 г.Екатеринбурга;Екатеринбург;1;98;56.8386326;60.6054887
Средняя общеобразовательная школа 28 г.Киселевск;Киселевск;2;96;54.0060382;86.6367387
Средняя общеобразовательная школа 12 г.Минусинск;Минусинск;2;96;53.7105509;91.6871866
"КГУ ""Экономический лицей"" государственного учреждения ""Отдел образования города Семей ВКО""";Семей;1;96;50.42675;80.26669
Средняя общеобразовательная школа 109 с угл. изуч. отд. предм. г.Омск;Омск;1;95;54.9848136;73.3674638
муниципальное Общеобразовательное Бюджетное Учреждение Лицей №5;Оренбург;1;95;51.7875191;55.1017379
"Муниципальное Автономное Нетиповое Общеобразовательное Учреждение ""Гимназия №2""";Мариинск;1;95;56.2127836;87.7454392
Муниципальная средняя (полная) общеобразовательная школа № 7 г.Колпашево;Колпашево;1;95;58.3114716;82.9027528
Краевая общеобразовательная школа-интернат по работе с одарёнными детьми Школа космонавтики г. Железногорск;Железногорск;1;95;52.3378753;35.3516834
Краевая общеобразовательная школа-интернат по работе с одарёнными детьми Школа космонавтики г. Железногорск;Железногорск;1;95;56.2529346;93.532167
Муниципальное общеобразовательное учреждение Академический лицей г.Томск;Томск;1;95;56.4847036;84.9481737
Школа-гимназия №11 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1;95;49.97143;82.60586
МБОУ Гимназия № 3 в Академгородке;Новосибирск;1;94;55.0281016;82.9210575
КГУ Общая средняя школа №5 имени М. Горького;Аксукент;1;93;42.420712;69.828652
