Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
"МАОУ ""Средняя общеобразовательная школа №25 с углубленным изучением отдельных предметов""";Златоуст;1;100;55.1715695;59.6726264
МКОУ средняя общеобразовательная школа № 105 Купинского района Новосибирской области;Купино;1;100;54.3660317;77.2972969
Майкаинская средняя общеобразовательная школа №2 отдела образования Баянаульского района;Майкаин;1;100;51.4831321;75.82660708
"МАОУ ""Гимназия №3"" г. Перми";Пермь;1;100;58.0103211;56.2341778
Турочакская средняя общеобразовательная школа Республики Алтай;Турочак;1;100;52.2576;87.1224
ФГАОУ ВО Тюменский государственный университет;Тюмень;1;100;57.1530824;65.5343118
Томский физико-технический лицей;Томск;1;96;56.4847036;84.9481737
Рыбаловская средняя общеобразовательная школа Томского района Томской области;Рыбалово;1;96;56.52686656;84.52688153
Средняя общеобразовательная школа № 36;Кемерово;1;96;55.3909721;86.0467864
"КГУ ""Общеобразовательная школа №1"" акимата города Сарани";Сарань;1;93;49.7908;72.83744
"МБОУ ""СОШ №198""";Северск;1;92;56.6031143;84.8809687
Средняя общеобразовательная школа 5 г.Колпашево;Колпашево;1;92;58.3114716;82.9027528
Муниципальная средняя (полная) общеобразовательная школа № 37 г.Томск;Томск;1;92;56.4847036;84.9481737
"КГУ ""Гимназия № 120"" имени Мажита Бегалина";Алматы;1;90;43.25667;76.92861
Средняя общеобразовательная школа № 12 города Белово Кемеровской области;Белово;2;89;54.4221442;86.3036438
Средняя общеобразовательная школа 16 г.Караганда;Караганда;2;88;49.83333;73.1658
Средняя общеобразовательная школа № 4 г. Иркутск;Иркутск;1;87;52.2863513;104.280655
Лицей 1 г.Иркутск;Иркутск;1;87;52.2863513;104.280655
Республиканский классический лицей;Горно-Алтайск;1;87;51.9582681;85.9602957
"МКОУ ""Вавиловская средняя школа"" Бакчарского района Томской области";Бакчар;1;87;57.01861;82.07111
"Коммунальное государственное учреждение ""Средняя школа №7 города Аксу";Аксу;1;86;52.44422;71.95761
"МБОУ ""Северский лицей""ЗАТО Северск Томской области";Северск;2;85;56.6031143;84.8809687
Сибирский геофизический колледж;Новосибирск;1;85;55.0281016;82.9210575
"Государственное учреждение ""Средняя общеобразовательная школа №13 города Павлодара""";Павлодар;2;84;52.28333;76.96667
"Государственное учреждение ""школа-лицей №16"" города Павлодара";Павлодар;1;83;52.28333;76.96667
МАОУ СОШ №13;Серов;1;83;59.6048651;60.5752136
"Муниципальное общеобразовательное учреждение ""Северская гимназия"" ЗАТО Северск Томской области";Северск;1;83;56.6031143;84.8809687
МБОУ СОШ №24;Кемерово;1;83;55.3909721;86.0467864
Средняя школа 2 г.Кокшетау Р.Казахстан;Кокшетау;1;83;53.28333;69.4
Муниципальное общеобразовательное учреждение гимназия № 56 г.Томск;Томск;2;79;56.4847036;84.9481737
"КГУ ""Гимназия №1 города Темиртау""";Темиртау;1;79;50.05494;72.96464
Сибирский лицей г. Томска;Томск;1;78;56.4847036;84.9481737
Муниципальное общеобразовательное учреждение гимназия № 6 г.Томск;Томск;1;78;56.4847036;84.9481737
МАОУ Заозерная СОШ с углубленным изучением отдельных предметов №16;Томск;1;78;56.4847036;84.9481737
"МАОУ ""Гимназия города Юрги""";Юрга;1;78;55.7202689;84.8885516
Ягоднинская муниципальная средняя (полная) общеобразовательная школа;Ягодное;1;78;62.52406;149.62827
Большелеушинская средняя общеобразовательная школа ;Большие Леуши;1;78;62.2002969;67.17225183
"муниципальное бюджетное общеобразовательное учреждение куйбышевского района ""средняя общеобразовательная школа №9"" города куйбышева новосибирской области ";Куйбышевский район. Куйбышев;1;78;55.44753;78.32181
Белоярская средняя общеобразовательная школа № 1 Верхнекетского района Томской области;Белый Яр;1;78;53.60389;91.39028
"МКОУ ""Усть-Волчихинская средняя школа""";Барнаул;1;78;53.3481145;83.7798362
"МБОУ ""Лицей ""Эврика""";Саяногорск;1;78;53.1008226;91.4121643
