Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
" КГУ "" Гимназия №93""";Караганда;1;100;49,83333;73,1658
Средняя общеобразовательная школа №13 города Павлодара;Павлодар;1;100;52,28333;76,96667
Томский политехнический университет;Томск;1;100;56,4847036;84,9481737
ГОУ ВПО Кемеровский государственный университет;Юрга;1;100;55,7202689;84,8885516
Самаркандский железнодорожный транспортный профессиональный колледж;Самарканд;1;94;39,65417;66,95972
"КГУ ""Кокпектинская СОШ""";Кокпекты;1;94;56,28636407;57,64458826
"МБОУ ""Хоринская средняя общеобразовательная школа №2"" МО Хоринский район Республики Бурятия";Хоринск;1;86;52,16631;109,77626
Школа-гимназия №44 Турксибского района города Алматы;Алматы;1;85;43,25667;76,92861
Средняя общеобразовательная школа 15 г.Караганда Р.Казахстан;Караганда;1;85;49,83333;73,1658
Средняя общеобразовательная профильная школа 41 г.Павлодар Р.Казахстан;Павлодар;1;85;52,28333;76,96667
Средняя общеобразовательная школа №198 г.Северска закрытого адиминстартивно-территориального образования Северск Томской области;Северск;1;82;56,6031143;84,8809687
Муниципальная средняя (полная) общеобразовательная школа № 58 г.Томск;Томск;1;82;56,4847036;84,9481737
Юргинский промышленно-экономический техникум;Юрга;1;79;55,7202689;84,8885516
Профессиональное училище № 59 имени И.В. Асанова г Юрги;Юрга;1;79;55,7202689;84,8885516
БПОУ Омский колледж транспортного строительства;Омск;1;79;54,9848136;73,3674638
Средняя художественная школа г. Гуанчжоу;Гуанчжоу;1;79;23,11667;113,25
Муниципальная средняя (полная) общеобразовательная школа № 43 г.Томск;Томск;1;77;56,4847036;84,9481737
"МБОУ ""Средняя общеобразовательная школа №11"" города Прокопьевска Кемеровской области";Прокопьевск;1;76;53,8604562;86,7183428
"муниципальное общеобразовательное бюджетное учреждение ""Школа №14""";Прокопьевск;1;74;53,8604562;86,7183428
Средняя общеобразовательная школа 25 г.Сургут;Сургут;1;74;61,2539773;73,3961726
МБОУ СШО №49 города Томска Томской области;Томск;1;74;56,4847036;84,9481737
Юргинский механический техникум;Юрга;1;73;55,7202689;84,8885516
Гимназия № 13 г.Томска;Томск;1;72;56,4847036;84,9481737
"г. Томск Государственное образовательное учреждение высшего профессионального образования ""Томский государственный университет""";Томск;1;71;56,4847036;84,9481737
ГОУ СПО Юргинский техникум машиностроения и информационных технологий г. Юрга;Юрга;3;71;55,7202689;84,8885516
"КГУ ""Гимназия №38""";Караганда;1;71;49,83333;73,1658
Кемеровский педагогический колледж;Кемерово;1;71;55,3909721;86,0467864
"Областное государственное автономное общеобразовательное учреждение ""Губернаторский Светленский лицей"" пос.Светлый г.Томска";Томск;1;70;56,4847036;84,9481737
Средняя общеобразовательная школа № 4 г.Стрежевой;Стрежевой;1;70;60,7328199;77,6040323
Юргинский техникум агротехнологий и сервиса;Юрга;3;69;55,7202689;84,8885516
МБОУ СОШ №34;Кемерово;1;69;55,3909721;86,0467864
Богашевская средняя общеобразовательная школа им. А.И.Федорова;Богашево;1;69;56,36798;85,14414
"КГУ ""СОШ-лицей №7"" ГУ ""Отдел образования города Семей ВКО""";Семей;1;68;50,42675;80,26669
МБОУ СОШ г.Новосибирска №19;Новосибирск;1;68;55,0281016;82,9210575
Губернаторский Светленский лицей;Томск;1;68;56,4847036;84,9481737
"ЧОУ Сибирский институт развивающего обучения ""Пеленг"" города Томска";Томск;1;67;56,4847036;84,9481737
Новосибирский государственный педагогический университет;Новосибирск;1;67;55,0281016;82,9210575
Межениновская муниципальная средняя (полная) общеобразовательная школа;Межениновка;1;67;56,37925918;85,3886266
Гимназия №1 имени Тасирова Г.Х. города Белово Кемеровской области;Белово;1;66;54,4221442;86,3036438
профессионально-техническое училище № 73;Юрга;1;66;55,7202689;84,8885516
ГОУ СПО Юргинский технологический колледж;Юрга;2;66;55,7202689;84,8885516
Томский политехнический институт;Томск;1;65;56,4847036;84,9481737
Муниципальное общеобразовательное учреждение гимназия № 56 г.Томск;Томск;2;64;56,4847036;84,9481737
Гуманитарный лицей г.Томск;Томск;2;64;56,4847036;84,9481737
ФГОУ СПО Юргинский техникум машиностроения и информационных технологий;Юрга;2;64;55,7202689;84,8885516
Технический лицей г. Юрга;Юрга;1;63;55,7202689;84,8885516
Государственное образовательное учреждение высшего профессионального образования Томский государственный архитектурно-строительный университет;Томск;1;63;56,4847036;84,9481737
Средняя (полная) общеобразовательная школа старшей ступени № 51 города Ланьчжоу;Ланьчжоу;1;63;36,05701;103,83987
Первомайская средняя общеобразовательная школа №5 муниципального района Шилкинский район Забайкальского края;Первомайский;1;62;53,2485;40,2871
Средняя общеобразовательная школа 13 г.Новокузнецк;Новокузнецк;1;62;53,7942757;87,2144046
Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;1;62;56,4847036;84,9481737
Мариинская средняя общеобразовательная школа № 3 г.Томска;Томск;1;62;56,4847036;84,9481737
МБОУ Средняя общеобразовательная школа 7 г.Колпашево;Колпашево;1;61;58,3114716;82,9027528
МБОУ СОШ №92;Кемерово;1;61;55,3909721;86,0467864
