ID;Балл;Предмет;Город;Дата_Зачисления;Учебное_Заведение
169315;91;Русский язык;Абай;03.08.2019;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан
168983;86;Физика;Абай;03.08.2019;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан
168983;79;Русский язык;Абай;03.08.2019;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан
169315;78;Химия;Абай;03.08.2019;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан
169315;63;Математика;Абай;03.08.2019;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан
168983;52;Математика;Абай;03.08.2019;Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан
168879;88;Русский язык;Абай;08.08.2019;Школа-гимназия №10 отдела образования Абайского района
168879;75;Физика;Абай;08.08.2019;Школа-гимназия №10 отдела образования Абайского района
168879;54;Математика;Абай;08.08.2019;Школа-гимназия №10 отдела образования Абайского района
173123;94;Физика;Абакан;03.08.2019;ГБОУ Республики Хакасия Хакасская национальная гимназия-интернат им. Н.Ф. Катанова
167492;94;Русский язык;Абакан;03.08.2019;ГБОУ Республики Хакасия Хакасская национальная гимназия-интернат им. Н.Ф. Катанова
167492;80;Физика;Абакан;03.08.2019;ГБОУ Республики Хакасия Хакасская национальная гимназия-интернат им. Н.Ф. Катанова
173123;80;Математика;Абакан;03.08.2019;ГБОУ Республики Хакасия Хакасская национальная гимназия-интернат им. Н.Ф. Катанова
167492;78;Математика;Абакан;03.08.2019;ГБОУ Республики Хакасия Хакасская национальная гимназия-интернат им. Н.Ф. Катанова
173123;67;Русский язык;Абакан;03.08.2019;ГБОУ Республики Хакасия Хакасская национальная гимназия-интернат им. Н.Ф. Катанова
166225;89;Русский язык;Абакан;03.08.2019;Лицей г.Абакана
166225;80;Физика;Абакан;03.08.2019;Лицей г.Абакана
166225;68;Математика;Абакан;03.08.2019;Лицей г.Абакана
167473;76;Математика;Абакан;03.08.2019;Опытненская средняя общеобразовательная школа
167473;70;Русский язык;Абакан;03.08.2019;Опытненская средняя общеобразовательная школа
167473;66;Физика;Абакан;03.08.2019;Опытненская средняя общеобразовательная школа
171210;98;Русский язык;Абакан;03.08.2019;Средняя общеобразовательная школа 1 г.Абакан
171210;78;Математика;Абакан;03.08.2019;Средняя общеобразовательная школа 1 г.Абакан
171210;74;Физика;Абакан;03.08.2019;Средняя общеобразовательная школа 1 г.Абакан
172332;81;Информатика и ИКТ;Абакан;08.08.2019;Средняя общеобразовательная школа 25 г.Абакан
172332;78;Математика;Абакан;08.08.2019;Средняя общеобразовательная школа 25 г.Абакан
172332;76;Русский язык;Абакан;08.08.2019;Средняя общеобразовательная школа 25 г.Абакан
172332;76;Физика;Абакан;08.08.2019;Средняя общеобразовательная школа 25 г.Абакан
167653;76;Русский язык;Абакан;03.08.2019;Средняя общеобразовательная школа 25 г.Абакан
167653;74;Математика;Абакан;03.08.2019;Средняя общеобразовательная школа 25 г.Абакан
167653;58;Физика;Абакан;03.08.2019;Средняя общеобразовательная школа 25 г.Абакан
170829;80;Русский язык;Абакан;29.07.2019;Хакасская национальная гимназия-интернат г.Абакана
170829;74;Математика;Абакан;29.07.2019;Хакасская национальная гимназия-интернат г.Абакана
170829;71;Химия;Абакан;29.07.2019;Хакасская национальная гимназия-интернат г.Абакана
171374;72;Физика;Абакан;25.09.2019;Хакасский политехнический колледж
171374;56;Русский язык;Абакан;25.09.2019;Хакасский политехнический колледж
171374;54;Математика;Абакан;25.09.2019;Хакасский политехнический колледж
173638;56;Русский язык;Абу Кебир;28.08.2019;Средняя общеобразовательная школа Абу Кебир
173638;51;Физика;Абу Кебир;28.08.2019;Средняя общеобразовательная школа Абу Кебир
173638;48;Математика;Абу Кебир;28.08.2019;Средняя общеобразовательная школа Абу Кебир
165948;56;Русский язык;Агинское;08.08.2019;Агинская средняя школа №3
165948;51;Физика;Агинское;08.08.2019;Агинская средняя школа №3
165948;50;Математика;Агинское;08.08.2019;Агинская средняя школа №3
167101;94;Русский язык;Агинское;03.08.2019;МАОУ Агинская окружная гимназия - интернат
