Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Абаза;52.6517296;90.0885929;12;75
Абакан;53.7223661;91.4437792;176;72
Абинск;44.8679931;38.1618437;3;79
Алапаевск;57.8475542;61.6693934;3;74
Алдан;58.6094885;125.3816689;13;73
Александровск;59.1613773;57.5764851;2;60
Алексеевка;50.6299932;38.6881776;6;76
Анадырь;64.7314347;177.5015752;3;79
Анапа;44.8950777;37.3163142;3;73
Ангарск;52.5448102;103.8885385;95;71
Анжеро-Судженск;56.0787179;86.0202207;236;72
Апатиты;67.5678295;33.4067218;3;69
Апшеронск;44.4585239;39.7300092;3;78
Артемовский;57.3384162;61.8946599;3;80
Архангельск;64.5392985;40.5170083;3;93
Асбест;57.0052428;61.4581071;3;75
Асино;56.9908444;86.1765724;51;71
Астрахань;46.3655808;48.0559979;6;65
Ачинск;56.2538662;90.47949;69;70
Балаково;52.0222694;47.7828146;3;77
Балашиха;55.7963352;37.9381413;3;84
Барабинск;55.3515917;78.3465012;16;72
Барнаул;53.3481145;83.7798362;227;72
Белая Холуница;58.8415212;50.8461002;2;58
Белебей;54.1033832;54.1111878;3;79
Белово;54.4221442;86.3036438;164;70
Белогорск;45.0571581;34.5998775;6;80
Белогорск;50.9212235;128.4738742;6;80
Белокуриха;51.9960534;84.9840343;21;71
Белорецк;53.9675927;58.4099562;3;79
Бердск;54.7582375;83.1072212;36;72
Березовский;55.6692853;86.2744636;71;75
Березовский;56.9096284;60.8180256;71;75
Бийск;52.5393683;85.2138852;97;77
Билибино;68.0585533;166.4388451;3;77
Биробиджан;48.7945975;132.9217594;11;77
Бирск;55.4157107;55.5582335;3;75
Благовещенск;50.2905935;127.5272186;6;75
Благовещенск;55.0499592;55.955309;6;75
Боготол;56.209881;89.5300182;5;59
Болотное;55.6693773;84.3906599;3;64
Большой Камень;43.1112737;132.3480354;3;78
Борисоглебск;51.3654619;42.100947;3;66
Бородино;55.9054308;94.9021138;3;66
Братск;56.1513951;101.6339892;30;70
Брянск;53.2420071;34.3652716;6;81
Бугульма;54.5363428;52.7895286;3;76
Бугуруслан;53.6522636;52.4326166;3;72
Бузулук;52.7881434;52.2623757;3;79
Верещагино;58.0797908;54.6580948;3;71
Верхняя Пышма;56.9757833;60.564885;3;70
Видное;55.5518323;37.7062062;3;68
Вилюйск;63.7517314;121.6272754;1;70
Владивосток;43.1163807;131.882348;22;69
Владикавказ;43.0205039;44.6819383;3;80
Волгоград;48.7072005;44.5170207;5;60
Вологда;59.2484186;39.8356461;3;77
Воронеж;51.6592378;39.1968284;6;77
Геленджик;44.5631053;38.0790184;3;77
Глазов;58.1359111;52.6634998;9;81
Горно-Алтайск;51.9582681;85.9602957;115;69
Горнозаводск;58.3743406;58.3230329;4;83
Губаха;58.837024;57.5544441;3;81
Гурьевск;54.2860005;85.947723;33;75
Гурьевск;54.7705368;20.6039109;33;75
Гусиноозерск;51.2865751;106.5230732;16;75
Дагестанские Огни;42.1151021;48.1939983;3;79
Дальнереченск;45.9307882;133.7316542;3;67
Дивногорск;55.9577868;92.380085;3;72
Егорьевск;55.3831326;39.0358236;1;72
Ейск;46.7114611;38.2764915;2;54
Екатеринбург;56.8386326;60.6054887;52;75
Елабуга;55.7566727;52.0544438;6;65
Енисейск;58.4485234;92.165237;3;63
Ессентуки;44.044461;42.8589078;2;67
Железногорск;52.3378753;35.3516834;122;77
Железногорск;56.2529346;93.532167;122;77
Железногорск-Илимский;56.5847382;104.1141747;3;76
Завитинск;50.1064678;129.4392897;3;81
Закаменск;50.3726774;103.2867452;3;77
Заозерный;55.9617268;94.7091037;3;71
Заречный;53.1961009;45.1691502;6;68
Заречный;56.8103345;61.3380592;6;68
Заринск;53.7063495;84.9314703;42;77
Зеленогорск;56.1133001;94.5888736;107;74
Зея;53.7339151;127.2658079;7;71
Зима;53.9206865;102.0492066;3;66
Златоуст;55.1715695;59.6726264;13;77
Змеиногорск;51.1580235;82.1872476;6;65
Игарка;67.4667947;86.5814287;3;71
Ижевск;56.8527444;53.2113961;22;75
Иркутск;52.2863513;104.280655;93;76
Искитим;54.6266869;83.2951444;3;74
Ишимбай;53.4546314;56.043874;3;86
Йошкар-Ола;56.6343763;47.8998445;3;63
Казань;55.7943877;49.1115312;13;77
Калтан;53.5210461;87.2772143;12;79
Каменск-Уральский;56.4149095;61.9189837;29;70
Каменск-Шахтинский;48.3204412;40.268874;3;64
Камень-на-Оби;53.7915454;81.3545173;18;70
Канск;56.2049776;95.7051246;24;76
Карабулак;43.3054762;44.9094521;9;75
Карасук;53.7343772;78.042457;32;73
Карпинск;59.7664444;60.0011798;3;79
Касли;55.8868045;60.7422529;4;71
Качканар;58.7051759;59.4840198;3;76
Кедровый;57.5618465;79.5678914;12;66
Кемерово;55.3909721;86.0467864;695;75
Кингисепп;59.3739407;28.6112981;3;64
Киров;54.0790823;34.3077508;3;72
Киров;58.6035313;49.6679219;3;72
